cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,n_actions
0.05625274493319142,0.7480916030534351,0.8043443479866266,0.049111628207135376,0.7796610169491526,0.8287726451562879,4
0.17244314720294818,0.11450381679389313,0.2869469639968413,0.17151900950327692,0.3389830508474576,0.5105020603507345,8
0.13981327125694137,0.12213740458015267,0.261950675837094,0.14267521077053077,0.3220338983050847,0.46470910907561547,12
0.14099316178332139,0.10687022900763359,0.24786339079095498,0.1375208719891108,0.2542372881355932,0.391758160124704,16
0.11948148465485747,0.10687022900763359,0.22635171366249107,0.12282519877488803,0.288135593220339,0.410960791995227,20
