iteration,gamma,cost,loss,obj
0,0.1,0.0,1.0,0.1
0,0.2,0.051214158440000004,0.7,0.19121415844
0,0.3,0.051214158440000004,0.7,0.26121415844
0,0.4,0.2277283022,0.2,0.3077283022
0,0.5,0.31695659389999997,0.0,0.31695659389999997
0,0.6,0.31695659389999997,0.0,0.31695659389999997
0,0.7,0.31695659389999997,0.0,0.31695659389999997
0,0.8,0.31695659389999997,0.0,0.31695659389999997
0,0.9,0.31695659389999997,0.0,0.31695659389999997
0,1.0,0.31695659389999997,0.0,0.31695659389999997
1,0.1,0.0,1.0,0.1
1,0.2,0.0,1.0,0.2
1,0.3,0.0516768266,0.8,0.2916768266
1,0.4,0.0516768266,0.8,0.3716768266
1,0.5,0.226106301,0.4,0.426106301
1,0.6,0.226106301,0.4,0.46610630099999995
1,0.7,0.226106301,0.4,0.506106301
1,0.8,0.226106301,0.4,0.546106301
1,0.9,0.5487856050000001,0.0,0.5487856050000001
1,1.0,0.5487856050000001,0.0,0.5487856050000001
2,0.1,0.0,1.0,0.1
2,0.2,0.0,1.0,0.2
2,0.3,0.2016957717,0.2,0.2616957717
2,0.4,0.24145785890000004,0.1,0.2814578589
2,0.5,0.24145785890000004,0.1,0.29145785890000003
2,0.6,0.2992822328,0.0,0.2992822328
2,0.7,0.2992822328,0.0,0.2992822328
2,0.8,0.2992822328,0.0,0.2992822328
2,0.9,0.2992822328,0.0,0.2992822328
2,1.0,0.2992822328,0.0,0.2992822328
3,0.1,0.0,1.0,0.1
3,0.2,0.0,1.0,0.2
3,0.3,0.0516768266,0.8,0.2916768266
3,0.4,0.0516768266,0.8,0.3716768266
3,0.5,0.226106301,0.4,0.426106301
3,0.6,0.226106301,0.4,0.46610630099999995
3,0.7,0.226106301,0.4,0.506106301
3,0.8,0.226106301,0.4,0.546106301
3,0.9,0.5487856050000001,0.0,0.5487856050000001
3,1.0,0.5487856050000001,0.0,0.5487856050000001
4,0.1,0.0,1.0,0.1
4,0.2,0.05121415843999999,0.7,0.19121415844
4,0.3,0.05121415843999999,0.7,0.26121415843999995
4,0.4,0.22772830219999998,0.2,0.30772830219999997
4,0.5,0.31695659389999997,0.0,0.31695659389999997
4,0.6,0.31695659389999997,0.0,0.31695659389999997
4,0.7,0.31695659389999997,0.0,0.31695659389999997
4,0.8,0.31695659389999997,0.0,0.31695659389999997
4,0.9,0.31695659389999997,0.0,0.31695659389999997
4,1.0,0.31695659389999997,0.0,0.31695659389999997
5,0.1,0.0,1.0,0.1
5,0.2,0.05996133659999999,0.7,0.1999613366
5,0.3,0.1927497217,0.2,0.2527497217
5,0.4,0.22473239090000002,0.1,0.2647323909
5,0.5,0.22473239090000002,0.1,0.2747323909
5,0.6,0.2801595838,0.0,0.2801595838
5,0.7,0.2801595838,0.0,0.2801595838
5,0.8,0.2801595838,0.0,0.2801595838
5,0.9,0.2801595838,0.0,0.2801595838
5,1.0,0.2801595838,0.0,0.2801595838
6,0.1,0.0,1.0,0.1
6,0.2,0.0,1.0,0.2
6,0.3,0.2016957717,0.2,0.2616957717
6,0.4,0.24145785890000004,0.1,0.2814578589
