iteration,gamma,cost,loss,obj
0,0.1,0.055999982999999996,0.1,0.065999983
0,0.2,0.055999982999999996,0.1,0.075999983
0,0.3,0.055999982999999996,0.1,0.085999983
0,0.4,0.055999982999999996,0.1,0.095999983
0,0.5,0.055999982999999996,0.1,0.10599998299999999
0,0.6,0.055999982999999996,0.1,0.11599998299999999
0,0.7,0.055999982999999996,0.1,0.12599998299999998
0,0.8,0.055999982999999996,0.1,0.135999983
0,0.9,0.055999982999999996,0.1,0.145999983
0,1.0,0.055999982999999996,0.1,0.155999983
1,0.1,0.055999982999999996,0.3,0.085999983
1,0.2,0.055999982999999996,0.3,0.115999983
1,0.3,0.055999982999999996,0.3,0.145999983
1,0.4,0.055999982999999996,0.3,0.17599998300000003
1,0.5,0.055999982999999996,0.3,0.20599998299999997
1,0.6,0.055999982999999996,0.3,0.23599998299999997
1,0.7,0.12153852279999999,0.2,0.2615385228
1,0.8,0.12153852279999999,0.2,0.2815385228
1,0.9,0.204933066,0.1,0.29493306599999997
1,1.0,0.204933066,0.1,0.304933066
2,0.1,0.055999982999999996,0.3,0.085999983
2,0.2,0.055999982999999996,0.3,0.115999983
2,0.3,0.055999982999999996,0.3,0.145999983
2,0.4,0.055999982999999996,0.3,0.17599998300000003
2,0.5,0.055999982999999996,0.3,0.20599998299999997
2,0.6,0.055999982999999996,0.3,0.23599998299999997
2,0.7,0.183167252,0.1,0.253167252
2,0.8,0.183167252,0.1,0.263167252
2,0.9,0.183167252,0.1,0.273167252
2,1.0,0.183167252,0.1,0.28316725200000004
3,0.1,0.0626267628,0.2,0.0826267628
3,0.2,0.07494338279999999,0.1,0.09494338279999999
3,0.3,0.07494338279999999,0.1,0.1049433828
3,0.4,0.07494338279999999,0.1,0.11494338279999998
3,0.5,0.07494338279999999,0.1,0.12494338279999999
3,0.6,0.07494338279999999,0.1,0.1349433828
3,0.7,0.07494338279999999,0.1,0.1449433828
3,0.8,0.07494338279999999,0.1,0.1549433828
3,0.9,0.07494338279999999,0.1,0.16494338279999998
3,1.0,0.07494338279999999,0.1,0.1749433828
4,0.1,0.055999982999999996,0.4,0.095999983
4,0.2,0.0822233956,0.2,0.12222339559999999
4,0.3,0.0822233956,0.2,0.1422233956
4,0.4,0.0822233956,0.2,0.16222339560000001
4,0.5,0.0822233956,0.2,0.18222339559999998
4,0.6,0.0822233956,0.2,0.2022233956
4,0.7,0.0822233956,0.2,0.22222339559999998
4,0.8,0.0822233956,0.2,0.2422233956
4,0.9,0.0822233956,0.2,0.2622233956
4,1.0,0.0822233956,0.2,0.2822233956
5,0.1,0.0,1.0,0.1
5,0.2,0.0,1.0,0.2
