Iteration,obj,obj_bound,cost,loss,comp,time
1,0.6319601697992613,0.6259601698594885,0.04485789707198864,0.6761363636363636,8.0,0.20343700000012177
2,0.6332860455197159,0.6259601698594885,0.044706500065170456,0.6647727272727273,9.0,1.9044476999988547
3,0.6229576280573864,0.6229576280573864,0.07125308260284091,0.6022727272727273,10.0,3.849812699998438
4,0.6425507828966477,0.6229576280573864,0.043971237442102275,0.6647727272727273,10.0,5.647795500000939
5,0.379442453703409,0.379442453703409,0.16012427188522724,0.15909090909090895,10.0,7.373165799999697
6,0.39457880093693176,0.379442453703409,0.18526061911875,0.15909090909090895,9.0,7.774964699998236
7,0.38558527414715904,0.379442453703409,0.17905118323806815,0.14204545454545459,10.0,8.227689499999542
8,0.3927549398460227,0.379442453703409,0.17769812166420454,0.15340909090909083,10.0,9.373734600001626
9,0.5554482731407386,0.379442453703409,0.09897100041346592,0.48863636363636376,9.0,10.909251400000358
10,0.5736493176350568,0.379442453703409,0.1043879539986932,0.5056818181818182,9.0,11.740816800000175
11,0.39512115710738627,0.379442453703409,0.18858706619829546,0.14204545454545459,10.0,13.726307400000223
12,0.4051041116642045,0.379442453703409,0.18857002075511364,0.14204545454545459,11.0,14.07184849999976
13,0.4105143593971591,0.379442453703409,0.18824163212443182,0.13636363636363624,12.0,14.788343899999745
14,0.4002132224181818,0.379442453703409,0.1892473133272727,0.10795454545454541,13.0,15.159029099999316
15,0.4076961612801136,0.379442453703409,0.19099161582556817,0.10227272727272729,14.0,15.600297100001626
16,0.5326059256375,0.379442453703409,0.1880604710920455,0.2727272727272727,14.0,18.675411399999575
17,0.5394070558363637,0.379442453703409,0.19764569220000003,0.2556818181818181,15.0,18.953975899999932
18,0.5401343251988636,0.379442453703409,0.20263432519886365,0.25,15.0,19.384115299999394
19,0.5396571493426136,0.379442453703409,0.20215714934261364,0.25,15.0,20.222342100001697
20,0.4249810081039773,0.379442453703409,0.20532191719488638,0.07954545454545459,16.0,21.393746300000203
21,0.41610600730227265,0.379442453703409,0.20644691639318183,0.07954545454545459,15.0,21.76394580000124
22,0.40951072182670456,0.379442453703409,0.20985163091761364,0.07954545454545459,14.0,22.156817899998714
23,0.4170491159971591,0.379442453703409,0.20739002508806817,0.07954545454545459,15.0,23.95641500000056
24,0.42680479789431813,0.379442453703409,0.20714570698522727,0.07954545454545436,16.0,24.522119699999166
25,0.41559243780340904,0.379442453703409,0.18593334689431817,0.07954545454545436,17.0,24.98182259999885
26,0.49408430979715906,0.379442453703409,0.2675502188880681,0.14204545454545436,12.0,29.46200880000106
27,0.5006371379960227,0.379442453703409,0.2683644107232954,0.13636363636363624,13.0,29.928842099998292
28,0.50755060589375,0.379442453703409,0.2639710604392045,0.16477272727272707,12.0,30.188448799999605
29,0.5149663728767044,0.379442453703409,0.26564819105852266,0.15909090909090895,13.0,30.573680800000147
30,0.6444737973562501,0.379442453703409,0.17799652462897725,0.48863636363636376,10.0,34.90138709999883
