Iteration,obj,obj_bound,cost,loss,comp,time
1,0.46129043959405935,0.45325008494059404,0.2850528158316831,0.16831683168316847,5.0,9.002681800164282
2,0.4664881075643564,0.45325008494059404,0.295101968950495,0.14851485148514842,6.0,9.86058390000835
3,0.4675168970792079,0.45325008494059404,0.2824178871782178,0.15346534653465338,7.0,10.914438400184736
4,0.4692952619752475,0.45325008494059404,0.2767705095,0.1633663366336633,7.0,11.420572000090033
5,0.474539555039604,0.45325008494059404,0.2794405451386138,0.15346534653465338,8.0,11.791840100195259
6,0.4831372473168317,0.45325008494059404,0.2817511087029702,0.14851485148514842,9.0,12.134906199993566
7,0.4903739450891089,0.45325008494059404,0.2938392916237624,0.1287128712871286,10.0,19.47315810015425
8,0.49400381736633664,0.45325008494059404,0.3060335203366337,0.10396039603960383,11.0,22.60781880002469
9,0.4887595243019802,0.45325008494059404,0.3033634846980198,0.11386138613861374,10.0,22.94726230017841
10,0.48864340232178216,0.45325008494059404,0.2549800359851485,0.17821782178217815,10.0,30.58846340002492
11,0.48928654365841584,0.45325008494059404,0.2556231773217822,0.17821782178217815,10.0,32.09194090007804
12,0.49064162004455436,0.45325008494059404,0.2618297388564356,0.15841584158415833,11.0,36.2019753002096
13,0.4928067199504949,0.45325008494059404,0.26513345262376237,0.14356435643564347,12.0,36.57692570006475
14,0.4837918170792078,0.45325008494059404,0.26611854975247523,0.14356435643564347,11.0,37.64615610009059
15,0.48988485009900984,0.45325008494059404,0.26221158277227724,0.14356435643564347,12.0,40.059655900113285
16,0.4854397636633663,0.45325008494059404,0.28261798148514855,0.12376237623762365,11.0,43.93081950000487
17,0.4898954535148514,0.45325008494059404,0.2807865426237624,0.11881188118811858,12.0,44.64640080020763
18,0.4946068085247525,0.45325008494059404,0.2817850263465347,0.12376237623762354,12.0,45.06526100006886
19,0.49213001293564357,0.45325008494059404,0.2793082307574258,0.12376237623762354,12.0,46.362346100155264
20,0.5019770216633663,0.45325008494059404,0.27915523948514853,0.12376237623762354,13.0,46.61938880011439
21,0.5001085082227723,0.45325008494059404,0.28099959733168317,0.11881188118811858,13.0,46.8668608001899
22,0.4961315505495049,0.45325008494059404,0.2870226396584158,0.11881188118811858,12.0,50.776643600082025
23,0.5020635771831683,0.45325008494059404,0.28295466629207916,0.11881188118811858,13.0,52.89963770005852
24,0.5107258779257425,0.45325008494059404,0.28161696703465344,0.11881188118811858,14.0,53.291381400078535
25,0.5131372479207921,0.45325008494059404,0.274028337029703,0.11881188118811858,15.0,54.35952840000391
26,0.5207233597227723,0.45325008494059404,0.2716144488316831,0.11881188118811858,16.0,55.85054160002619
27,0.5223455091633663,0.45325008494059404,0.2695237269851485,0.12376237623762354,16.0,56.13615800021216
28,0.5308179286435644,0.45325008494059404,0.27170901775247525,0.11881188118811858,17.0,56.39374230010435
29,0.5287499074851485,0.45325008494059404,0.2807796104554456,0.10396039603960372,17.0,57.28454740019515
30,0.5374675788366337,0.45325008494059404,0.2794972818069308,0.10396039603960372,18.0,57.59976160014048
31,0.5447194833910891,0.45325008494059404,0.27674918636138623,0.10396039603960372,19.0,58.66524690017104
32,0.5385308637376237,0.45325008494059404,0.2731348241336634,0.11386138613861363,18.0,60.003525600070134
33,0.546714260321782,0.45325008494059404,0.2713182207178218,0.11386138613861363,19.0,61.23603170015849
34,0.5385308637376237,0.45325008494059404,0.2731348241336634,0.11386138613861363,18.0,62.673373100114986
35,0.5437007617079208,0.45325008494059404,0.27944333596534654,0.09900990099009876,19.0,63.900060900021344
36,0.5489723701732674,0.45325008494059404,0.3044179147277228,0.05940594059405935,20.0,65.50722610019147
37,0.5567936800792079,0.45325008494059404,0.3059520959207921,0.05445544554455439,21.0,65.80823480011895
38,0.5596473986633663,0.45325008494059404,0.29880581450495053,0.05445544554455439,22.0,67.08429860020988
39,0.5680472500049505,0.45325008494059404,0.29349279455940597,0.05940594059405924,23.0,67.54129500011913
40,0.5593343616930693,0.45325008494059404,0.29477990624752476,0.05940594059405924,22.0,67.75320610008202
41,0.5670894498267327,0.45325008494059404,0.29996073695544556,0.04950495049504933,23.0,68.18577910005115
42,0.5738393464059406,0.45325008494059404,0.2967106335346535,0.04950495049504933,24.0,68.94554730015807
43,0.5816731134554456,0.45325008494059404,0.29454440058415843,0.049504950495049216,25.0,69.85994620015845
44,0.5899245610940593,0.45325008494059404,0.296508719509901,0.04455445544554426,26.0,70.10080350004137
45,0.5991663979772277,0.45325008494059404,0.2957505563930693,0.04455445544554426,27.0,70.58825590019114
46,0.6080673279277228,0.45325008494059404,0.3057901002049505,0.029702970297029396,28.0,71.50224360008724
47,0.6167004627049504,0.45325008494059404,0.3007103636950495,0.03465346534653435,29.0,71.8685655000154
48,0.6138250669079208,0.45325008494059404,0.30040922532376235,0.04455445544554437,28.0,73.87899510003626
49,0.6129814415019801,0.45325008494059404,0.29585272863069306,0.04950495049504933,28.0,74.4013402001001
50,0.6085876738138614,0.45325008494059404,0.3088847035168316,0.03960396039603942,27.0,75.34124230011366
51,0.6175922210415841,0.45325008494059404,0.31160212203168314,0.03465346534653446,28.0,75.58979030000046
52,0.610336713749505,0.45325008494059404,0.3106337434524753,0.03960396039603942,27.0,76.90935269999318
53,0.6140251093930693,0.45325008494059404,0.30432213909603956,0.03960396039603942,28.0,77.8116721000988
54,0.6150130244722772,0.45325008494059404,0.30159718288811876,0.04455445544554437,28.0,78.13167670019902
55,0.6150130244722772,0.45325008494059404,0.30159718288811876,0.04455445544554437,28.0,78.42689790017903
56,0.6080108653039604,0.45325008494059404,0.3008821524326732,0.04950495049504933,27.0,79.22905750013888
57,0.6172661160613861,0.45325008494059404,0.3038502744772276,0.04455445544554437,28.0,79.46806610003114
58,0.6172661160613861,0.45325008494059404,0.3038502744772276,0.04455445544554437,28.0,79.83487710007466
59,0.6237743454524751,0.45325008494059404,0.3003585038683168,0.04455445544554437,29.0,80.22241650009528
60,0.6306406669475247,0.45325008494059404,0.3046505679376238,0.03465346534653446,30.0,80.72207240015268
61,0.621385416190099,0.45325008494059404,0.30168244589306936,0.03960396039603942,29.0,80.88766020000912
62,0.6216728758435643,0.45325008494059404,0.29825703425940603,0.04455445544554437,29.0,81.49202850018628
63,0.6293786391207921,0.45325008494059404,0.29967566882376245,0.03960396039603942,30.0,81.67383870016783
64,0.6194686489128713,0.45325008494059404,0.29976567861584164,0.03960396039603942,29.0,82.92506640008651
65,0.6194686489128713,0.45325008494059404,0.29976567861584164,0.03960396039603942,29.0,83.33953590015881
66,0.6221128754475248,0.45325008494059404,0.29612277643762386,0.03465346534653446,30.0,83.7790809001308
67,0.6229583179722773,0.45325008494059404,0.2969682189623763,0.03465346534653446,30.0,85.3855043000076
68,0.6304954764970297,0.45325008494059404,0.29821824877425746,0.029702970297029507,31.0,85.6646122999955
69,0.6366449261504952,0.45325008494059404,0.29436769842772287,0.029702970297029285,32.0,87.1789742000401
70,0.6450201728782179,0.45325008494059404,0.29645581644257435,0.02475247524752433,33.0,87.51313129998744
71,0.6390262135910891,0.45325008494059404,0.3004618571554456,0.02475247524752433,32.0,88.67610989999957
72,0.6303607506702971,0.45325008494059404,0.3017963942346535,0.02475247524752433,31.0,89.14383730012923
73,0.6311723465564356,0.45325008494059404,0.3026079901207921,0.02475247524752433,31.0,89.42998870019801
74,0.6238405858039604,0.45325008494059404,0.3015633580811881,0.029702970297029396,30.0,89.99734060000628
75,0.6211567479821782,0.45325008494059404,0.28660229253663366,0.059405940594059126,29.0,91.42428950010799
76,0.6234671690712872,0.45325008494059404,0.28891271362574256,0.059405940594059126,29.0,92.39996960014105
77,0.6186546686257426,0.45325008494059404,0.2718229854574257,0.08910891089108885,28.0,93.9263047000859
78,0.6065146289673267,0.45325008494059404,0.27597007451188116,0.09405940594059381,26.0,95.48357180017047
