Iteration,obj,obj_bound,cost,loss,comp,time
1,1.0353745397222223,0.8033642796296295,0.07574491009259259,0.8796296296296297,4.0,8.22416590002831
2,0.8479897399074073,0.8033642796296295,0.3174341843518518,0.4305555555555556,5.0,11.932682100043166
3,0.8594152138425925,0.8033642796296295,0.31034113976851846,0.44907407407407407,5.0,12.331655899994075
4,0.8756614207407406,0.8033642796296295,0.31121697629629624,0.4444444444444444,6.0,12.576003600028343
5,0.8890019722685184,0.8033642796296295,0.3184464167129629,0.43055555555555547,7.0,12.922849000024144
6,0.8998373719444444,0.8033642796296295,0.332429964537037,0.40740740740740733,8.0,14.111273400019854
7,0.9162267684722221,0.8033642796296295,0.35659713884259253,0.37962962962962954,9.0,15.032209700031672
8,0.9112173439351852,0.8033642796296295,0.39640252912037033,0.31481481481481477,10.0,17.985209200007375
9,0.9084700589351852,0.8033642796296295,0.3086552441203704,0.4398148148148149,8.0,27.317054399987683
10,0.9262822767129628,0.8033642796296295,0.30646746189814816,0.4398148148148149,9.0,27.540077599987853
11,0.9150735782407406,0.8033642796296295,0.34007357824074075,0.375,10.0,30.029758499993477
12,0.896175302175926,0.8033642796296295,0.3226567836574074,0.3935185185185185,9.0,30.837792700040154
13,0.8889881194907407,0.8033642796296295,0.3463955268981481,0.34259259259259256,10.0,31.79755820002174
14,0.9057969627777778,0.8033642796296295,0.34783399981481483,0.337962962962963,11.0,32.75690420001047
15,0.911901542824074,0.8033642796296295,0.3354200613425926,0.3564814814814815,11.0,33.667799399991054
16,0.8806090083333333,0.8033642796296295,0.4091275268518519,0.2314814814814815,12.0,35.090875299996696
17,0.9006090083333333,0.8033642796296295,0.4091275268518519,0.2314814814814815,13.0,35.74218560004374
18,0.8853056700925925,0.8033642796296295,0.40456492935185184,0.2407407407407407,12.0,36.5137107000337
19,0.8980566886111112,0.8033642796296295,0.44361224416666667,0.19444444444444442,13.0,37.91817700001411
20,0.954358647638889,0.8033642796296295,0.3300993883796296,0.3842592592592593,12.0,40.24151280004298
21,0.954358647638889,0.8033642796296295,0.3300993883796296,0.3842592592592593,12.0,41.19801480002934
22,0.9568573589814815,0.8033642796296295,0.2955610626851852,0.4212962962962963,12.0,42.14314739999827
23,0.9713279441666667,0.8033642796296295,0.29929090712962964,0.4120370370370371,13.0,43.055641199985985
24,0.9906858518055557,0.8033642796296295,0.3125377036574074,0.39814814814814814,14.0,43.9484448999865
25,1.0019188296296297,0.8033642796296295,0.3269188296296296,0.375,15.0,45.550184899999294
26,0.9830186545370372,0.8033642796296295,0.32801865453703705,0.375,14.0,47.21183190000011
27,0.9936183393981481,0.8033642796296295,0.3417664875462963,0.35185185185185186,15.0,48.80046520003816
28,1.0124049756944447,0.8033642796296295,0.3405531238425926,0.35185185185185186,16.0,49.77660939999623
29,1.0118334574074075,0.8033642796296295,0.3446112351851852,0.3472222222222222,16.0,50.86199960001977
30,1.1760125061574074,0.8033642796296295,0.14304954319444443,0.712962962962963,16.0,56.06995600002119
31,1.1589197308333332,0.8033642796296295,0.14132713824074072,0.7175925925925926,15.0,56.87910100002773
32,1.2142921456944444,0.8033642796296295,0.08095881236111112,0.8333333333333333,15.0,60.595381500024814
33,1.2142921456944444,0.8033642796296295,0.08095881236111112,0.8333333333333333,15.0,60.811040100001264
34,1.190188588611111,0.8033642796296295,0.09852192194444445,0.7916666666666667,15.0,62.61334089998854
35,1.1899655852777777,0.8033642796296295,0.10755817787037038,0.7824074074074074,15.0,63.45825910003623
36,1.1711773722685184,0.8033642796296295,0.10414033523148149,0.787037037037037,14.0,63.69571310002357
37,1.1594257809259259,0.8033642796296295,0.16498133648148147,0.6944444444444444,15.0,65.18386370001826
38,1.1636929997685184,0.8033642796296295,0.18313744421296294,0.6805555555555556,15.0,66.5595588000142
39,1.159886798009259,0.8033642796296295,0.1839608720833333,0.6759259259259259,15.0,67.79189540003426
40,1.1872220337037036,0.8033642796296295,0.19129610777777775,0.6759259259259259,16.0,68.8769864999922
41,1.1735089111574073,0.8033642796296295,0.18369409634259257,0.6898148148148149,15.0,69.58811750001041
42,1.167448524398148,0.8033642796296295,0.18689296884259257,0.6805555555555556,15.0,70.82940950000193
43,1.1845412997222222,0.8033642796296295,0.18861537379629628,0.6759259259259259,16.0,71.60925550002139
44,1.1588640370833332,0.8033642796296295,0.17830848152777778,0.6805555555555556,15.0,73.99669609998818
45,1.1650784312962963,0.8033642796296295,0.19693028314814814,0.6481481481481481,16.0,75.153996500012
46,1.2146446952777779,0.8033642796296295,0.16779284342592593,0.7268518518518519,16.0,83.22050250001485
47,1.2307359900000001,0.8033642796296295,0.18240265666666666,0.7083333333333334,17.0,83.71709150000243
48,1.1862596983333333,0.8033642796296295,0.23051895759259258,0.6157407407407407,17.0,86.28606509999372
49,1.2034789739814815,0.8033642796296295,0.22773823324074075,0.6157407407407407,18.0,86.94879659998696
50,1.1863861986574074,0.8033642796296295,0.226015828287037,0.6203703703703705,17.0,87.66655680001713
51,1.1942516646759258,0.8033642796296295,0.24165907208333332,0.5925925925925926,18.0,91.57206169998972
52,1.1999145330555556,0.8033642796296295,0.23806268120370372,0.6018518518518519,18.0,93.61471669998718
53,1.2199145330555556,0.8033642796296295,0.23806268120370372,0.6018518518518519,19.0,94.87404369999422
54,1.2026952574074075,0.8033642796296295,0.24084340555555556,0.6018518518518519,18.0,95.22573440003907
55,1.1754923515277778,0.8033642796296295,0.2567886478240741,0.5787037037037037,17.0,96.5745070000412
56,1.1968434658564815,0.8033642796296295,0.2442508732638889,0.5925925925925926,18.0,97.83215730002848
57,1.183630778449074,0.8033642796296295,0.27585300067129626,0.5277777777777777,19.0,102.17349150002701
58,1.177198876736111,0.8033642796296295,0.2694210989583333,0.5277777777777777,19.0,103.98920810001437
59,1.1652623794675927,0.8033642796296295,0.26674386094907404,0.5185185185185186,19.0,104.89141999999993
60,1.1752968088194446,0.8033642796296295,0.28455606807870365,0.4907407407407407,20.0,105.40568299998995
61,1.1926724006111111,0.8033642796296295,0.2865612895,0.48611111111111116,21.0,105.92823489999864
62,1.210937262462963,0.8033642796296295,0.2848261513518518,0.48611111111111116,22.0,106.17636819998734
63,1.210937262462963,0.8033642796296295,0.2848261513518518,0.48611111111111116,22.0,110.22246050002286
64,1.2040002520925925,0.8033642796296295,0.27011136320370366,0.5138888888888888,21.0,111.3033574000001
65,1.2248181812037038,0.8033642796296295,0.2755589219444444,0.5092592592592593,22.0,111.95459929999197
66,1.245465136712963,0.8033642796296295,0.271576247824074,0.5138888888888888,23.0,112.3309076000005
67,1.226420815,0.8033642796296295,0.26790229648148145,0.5185185185185186,22.0,113.01329480001004
68,1.2228904191666667,0.8033642796296295,0.26437190064814814,0.5185185185185186,22.0,113.47571329999482
69,1.2319435353703705,0.8033642796296295,0.2812027946296296,0.4907407407407408,23.0,114.98236150003504
70,1.0749903710648148,0.8033642796296295,0.5270274081018519,0.08796296296296302,23.0,124.9485771000036
71,1.025167244398148,0.8033642796296295,0.5325746518055556,0.09259259259259256,20.0,128.5596535000368
72,1.0430765682407408,0.8033642796296295,0.5304839756481482,0.09259259259259245,21.0,131.0340642000083
73,1.0179185614722224,0.8033642796296295,0.52069633925,0.0972222222222221,20.0,132.34024600003613
74,1.0262801051296297,0.8033642796296295,0.5290578829074074,0.0972222222222221,20.0,135.37650800001575
75,1.0451276354999999,0.8033642796296295,0.5325350429074074,0.09259259259259245,21.0,136.1530563000124
76,1.0514234998055556,0.8033642796296295,0.5079049812870371,0.14351851851851838,20.0,139.393701300025
77,1.0769735486018517,0.8033642796296295,0.4516031782314815,0.24537037037037024,19.0,142.52859360002913
78,1.0769735486018517,0.8033642796296295,0.4516031782314815,0.24537037037037024,19.0,143.59487239998998
79,1.0564369581388888,0.8033642796296295,0.45569621739814814,0.2407407407407406,18.0,144.22494939999888
80,1.0775524671666665,0.8033642796296295,0.4568117264259259,0.2407407407407406,19.0,144.89624630002072
81,1.074252833787037,0.8033642796296295,0.42721579675,0.287037037037037,18.0,145.65727399999741
82,1.063433348972222,0.8033642796296295,0.4534333489722222,0.2499999999999999,18.0,146.49707780004246
83,1.0818275210555555,0.8033642796296295,0.4518275210555555,0.2499999999999999,19.0,146.72395800001686
84,1.0818275210555555,0.8033642796296295,0.4518275210555555,0.2499999999999999,19.0,146.85712890001014
85,1.062097218,0.8033642796296295,0.45209721799999997,0.2499999999999999,18.0,147.18652889999794
86,1.0651758974444445,0.8033642796296295,0.48147219374074074,0.2037037037037036,19.0,147.99543670000276
87,1.0804378437407407,0.8033642796296295,0.48136376966666666,0.19907407407407396,20.0,148.28551499999594
